,PC1 nlog pval,PC1 tscore,Age nlog pval,Age tscore,Gender nlog pval,Gender tscore,Sleep nlog pval,Sleep tscore
sstcrspvsicrspbctxrhpcar,4.342727686267685e-05,1.2814246111424528,-0.0,-0.5906082013197618,0.014931447737508818,1.6947303890315544,-0.0,-0.8994300953372918
sstcrspvsicrspbctxrhpostct,-0.0,-0.1362776059772053,-0.0,-0.44521242643182035,0.018134257186070417,1.7154894622021901,0.5541280133257391,2.6954613432779846
sstcrspvsicrspbctxrhpstcg,-0.0,1.2489070092311685,-0.0,-0.1696961977338759,-0.0,-0.22527935962171655,-0.0,0.1727109546236712
sstcrspvsicrspbctxrhprect,-0.0,0.5237376367305676,-0.0,0.5287054046313852,-0.0,-0.2949588276508208,0.23549370821239546,2.2763891580350673
sstcrspvsicrspbctxrhpcn,0.0006953580701413141,1.397186625547646,-0.0,-0.7151719670000458,-0.0,0.3430429660749522,0.0005648935975525157,1.3515830934900899
sstcrspvsicrspbctxrhrlg,0.6286061098727618,2.769004905525594,4.342727686267685e-05,-1.1567326174752708,-0.0,-0.2398158751057155,-0.0,-0.2779177676311812
sstcrspvsicrspbctxrhstralmdfr,-0.0,0.6415387975867238,0.004671521248700257,1.5415944536030621,0.1373754770482747,-2.112066114425796,-0.0,0.28585022553904427
sstcrspvsicrspbctxrhsufr,-0.0,0.4064318526227179,-0.0,0.5523910467666443,0.013943802221733071,-1.686498907956796,-0.0,0.7585176233523824
sstcrspvsicrspbctxrhsupar,-0.0,1.2095193579150139,-0.0,-0.4679883030524804,-0.0,0.6396478149596954,0.0013482689652069323,1.4091165482006538
sstcrspvsicrspbctxrhsutp,0.018224820106199094,1.7250050266494457,-0.0,-0.30843522552918895,-0.0,-0.7897202520448444,0.05119052107714916,1.8575605376318889
sstcrspvsicrspbctxrhsmg,-0.0,0.5011830172652845,-0.0,-0.06857309789355982,-0.0,0.45028500499056395,0.03653892786257184,1.7913198470961527
sstcrspvsicrspbctxrhfrpole,-0.0,0.18483099365292954,-0.0,0.27644283462894254,-0.0,0.190135048594781,-0.0,0.31670244547580223
sstcrspvsicrspbctxrhtppole,-0.0,0.4447557801750448,-0.0,-0.6570839513323327,0.08427436129317853,1.9921972658044511,-0.0,-1.0482523278471438
sstcrspvsicrspbctxrhtvstp,-0.0,0.11468341597722348,-0.0,0.1907163816850535,-0.0,-0.284313065309373,1.362553697764352,3.459373335065838
