,r,p
PC1,0.05638246153564944,0.001666432746180187
PC2,0.052191646904256886,0.003614292027105634
PC3,0.016664955412399707,0.35309479341998773
PC4,0.035492728158800925,0.04790518844410375
PC5,0.008787002671318872,0.6244141297150696
